Date,SP500,IBM
2021-04-09,4128.7998046875,129.76100158691406
2021-04-12,4127.990234375,128.67112731933594
2021-04-13,4141.58984375,125.41108703613281
2021-04-14,4124.66015625,126.79732513427734
2021-04-15,4170.419921875,126.74951934814453
2021-04-16,4185.47021484375,127.71510314941406
2021-04-19,4163.259765625,127.26577758789062
2021-04-20,4134.93994140625,132.08413696289062
2021-04-21,4173.419921875,137.23709106445312
2021-04-22,4134.97998046875,135.06692504882812
2021-04-23,4180.169921875,136.16635131835938
2021-04-26,4187.6201171875,135.3441619873047
2021-04-27,4186.72021484375,135.7648162841797
2021-04-28,4183.18017578125,136.71128845214844
2021-04-29,4211.47021484375,137.89674377441406
2021-04-30,4181.169921875,135.64053344726562
2021-05-03,4192.66015625,138.3843231201172
2021-05-04,4164.66015625,139.34034729003906
2021-05-05,4167.58984375,138.83364868164062
2021-05-06,4201.6201171875,141.89292907714844
2021-05-07,4232.60009765625,139.06309509277344
2021-05-10,4188.43017578125,139.7418670654297
2021-05-11,4152.10009765625,137.87762451171875
2021-05-12,4063.0400390625,135.08604431152344
2021-05-13,4112.5,137.829833984375
2021-05-14,4173.85009765625,138.31739807128906
2021-05-17,4163.2900390625,138.72848510742188
2021-05-18,4127.830078125,137.58126831054688
2021-05-19,4115.68017578125,136.89292907714844
2021-05-20,4159.1201171875,137.55258178710938
2021-05-21,4155.85986328125,138.374755859375
2021-05-24,4197.0498046875,138.3556365966797
2021-05-25,4188.1298828125,137.46653747558594
2021-05-26,4195.990234375,137.07456970214844
2021-05-27,4200.8798828125,137.49522399902344
2021-05-28,4204.10986328125,137.41873168945312
2021-06-01,4202.0400390625,137.8489532470703
2021-06-02,4208.1201171875,139.31166076660156
2021-06-03,4192.85009765625,139.14913940429688
2021-06-04,4229.89013671875,140.93690490722656
2021-06-07,4226.52001953125,141.51051330566406
2021-06-08,4227.259765625,142.51434326171875
2021-06-09,4219.5498046875,144.04397583007812
2021-06-10,4239.18017578125,143.91969299316406
2021-06-11,4247.43994140625,144.6271514892578
2021-06-14,4255.14990234375,143.43212890625
2021-06-15,4246.58984375,142.7915802001953
2021-06-16,4223.7001953125,141.32887268066406
2021-06-17,4221.85986328125,139.1969451904297
2021-06-18,4166.4501953125,136.8260040283203
2021-06-21,4224.7900390625,140.2007598876953
2021-06-22,4246.43994140625,139.92352294921875
2021-06-23,4241.83984375,138.25047302246094
2021-06-24,4266.490234375,139.04397583007812
2021-06-25,4280.7001953125,140.38241577148438
2021-06-28,4290.60986328125,138.90057373046875
2021-06-29,4291.7998046875,139.14913940429688
2021-06-30,4297.5,140.14340209960938
2021-07-01,4319.93994140625,140.38241577148438
2021-07-02,4352.33984375,133.86233520507812
2021-07-06,4343.5400390625,132.67686462402344
2021-07-07,4358.1298828125,133.67112731933594
2021-07-08,4320.81982421875,134.55067443847656
2021-07-09,4369.5498046875,135.29637145996094
2021-07-12,4384.6298828125,134.72274780273438
2021-07-13,4369.2099609375,134.11090087890625
2021-07-14,4374.2998046875,133.67112731933594
2021-07-15,4360.02978515625,134.27342224121094
2021-07-16,4327.16015625,132.7915802001953
2021-07-19,4258.490234375,131.8546905517578
2021-07-20,4323.06005859375,133.8145294189453
2021-07-21,4358.68994140625,135.08604431152344
2021-07-22,4367.47998046875,134.52198791503906
2021-07-23,4411.7900390625,135.12428283691406
2021-07-26,4422.2998046875,136.49139404296875
