Date,^DJI
2023-06-22,-0.00014164
2023-06-23,-0.00648053
2023-06-26,-0.00037718
2023-06-27,0.00626917
2023-06-28,-0.00218586
2023-06-29,0.00793712
2023-06-30,0.00832281
2023-07-03,0.00031579
2023-07-05,-0.00377918
2023-07-06,-0.01074264
2023-07-07,-0.00553920
2023-07-10,0.00619156
2023-07-11,0.00929615
2023-07-12,0.00250719
2023-07-13,0.00138810
2023-07-14,0.00330577
2023-07-17,0.00220916
2023-07-18,0.01054345
2023-07-19,0.00312174
2023-07-20,0.00466574
2023-07-21,0.00007130
2023-07-24,0.00519677
2023-07-25,0.00075744
2023-07-26,0.00231265
2023-07-27,-0.00670604
2023-07-28,0.00499196
2023-07-31,0.00282298
2023-08-01,0.00199883
2023-08-02,-0.00981941
2023-08-03,-0.00189022
2023-08-04,-0.00427622
2023-08-07,0.01155428
2023-08-08,-0.00448217
2023-08-09,-0.00542689
2023-08-10,0.00150183
2023-08-11,0.00298762
2023-08-14,0.00074319
2023-08-15,-0.01028387
2023-08-16,-0.00518282
2023-08-17,-0.00840293
2023-08-18,0.00074902
2023-08-21,-0.00107211
2023-08-22,-0.00508676
2023-08-23,0.00535625
2023-08-24,-0.01089541
2023-08-25,0.00723129
2023-08-28,0.00618466
2023-08-29,0.00843342
2023-08-30,0.00107728
2023-08-31,-0.00483618
2023-09-01,0.00332954
2023-09-05,-0.00563453
2023-09-06,-0.00575458
2023-09-07,0.00166916
2023-09-08,0.00219636
2023-09-11,0.00251671
2023-09-12,-0.00051163
2023-09-13,-0.00203570
2023-09-14,0.00954427
2023-09-15,-0.00830985
2023-09-18,0.00017511
2023-09-19,-0.00308265
2023-09-20,-0.00222892
2023-09-21,-0.01081458
2023-09-22,-0.00313319
2023-09-25,0.00126640
2023-09-26,-0.01147504
2023-09-27,-0.00204288
2023-09-28,0.00345362
2023-09-29,-0.00472923
2023-10-02,-0.00221534
2023-10-03,-0.01297430
2023-10-04,0.00384601
2023-10-05,-0.00030130
2023-10-06,0.00865841
2023-10-09,0.00588164
2023-10-10,0.00399895
2023-10-11,0.00194155
2023-10-12,-0.00515247
